Region,gorod_sreda_2018,gorod_sreda_2019,voting_president,budget_2017,budget_2018,budget_2019,naselenie,yavka
Altaiskiy_krai,156,160,66.66,516143400.00,517922600.00,760448100.00,1548647,65.4
Amurskaya_obl,153,156,67.04,146987400.00,152798100.00,243355200.00,1205584,62.15
Arhangelskaya_obl,152,155,75.27,234698900.00,242288200.00,362790600.00,1372071,59.2
Astrahanskaya_obl,155,161,76.95,175877900.00,229145700.00,375844200.00,1009413,60.42
Belgorodskaya_obl,180,183,79.71,263230000.00,269704000.00,454166200.00,1010768,73.24
Bryanskaya_obl,161,164,81.60,252824000.00,251743700.00,373194600.00,640296,79.85
Vladimirskaya_obl,173,177,73.65,282020400.00,340210000.00,521026400.00,1111139,65.10
Volgogradskaya_obl,143,159,77.55,493249300.00,508271600.00,791921900.00,1147118,68.14
Vologodskaya_obl,157,169,72.41,215679500.00,227391800.00,391229300.00,7551516,66.2
Voronezskaya_obl,163,172,78.88,443746800.00,462770200.00,740284100.00,743356,64.56
Moscow,276,283,70.87,21616060100.00,23068053198.24,37369374500.50,1117805,59.95
Evreiskaya_ao,142,146,67.48,32940400.00,32167100.00,48909500.00,945856,60.25
Zabaikalskiy_krai,127,132,72.03,221184300.00,225188000.00,323941500.00,1024759,57.99
Ivanovskaya_obl,170,174,71.37,223951600.00,239689800.00,351305800.00,1276754,58.55
Irkutskaya_obl,137,143,73.06,NA,609657600.00,1026621900.00,1485337,55.7
Kabardin_balkar,158,164,93.38,173858500.00,174981998.24,259055000.00,1262648,91.8
Kaliningrad_obl,176,184,76.34,166831200.00,173574000.00,306150000.00,12560873,62.3
Kaluga_obl,155,173,76.16,262022800.00,152384100.00,293659400.00,620269,68.17
Kamchatskiy_krai,156,159,69.44,66049500.00,65075300.00,95261600.00,835553,67.74
Karachaevo-Cherkess,126,138,87.64,95939800.00,96444600.00,139518100.00,1149574,87.41
Kemerovskaya_obl,153,156,85.42,651925200.00,688564900.00,1094962200.00,43913,83.24
Kirovskaya_obl,151,157,70.41,286565000.00,288873400.00,442117600.00,1105661,62.72
Kostromskaya_obl,163,167,68.71,132670700.00,152803500.00,219429500.00,1172201,60.51
Krasnodarskiy_krai,166,189,81.35,973781100.00,1013741800.00,1788308000.00,998392,77.87
Krasnoyarskiy_krai,156,158,74.28,507209100.00,532296000.00,936538900.00,1830841,60.34
Kurganskaya_obl,137,145,73.30,173798000.00,172897000.0,250428600.00,750806,61.74
Kurskaya_obl,169,174,81.01,205405900.00,214771900.00,336913700.00,603386,64.48
Leningradskaya_obl,179,185,79.01,308743600.00,208763000.00,401181700.00,633098,66.89
Lipetskaya_obl,173,181,80.83,170606200.00,190261300.00,346751500.00,5367912,72.18
Magadanskaya_obl,151,160,72.30,29234600.00,28840300.00,43059400.00,454060,71.91
Moskovskaya_obl,197,201,74.49,1733041000.00,1177964000.00,2301576000.00,274029,63.6
Murmanskaya_obl,182,186,76.37,115262700.00,120595500.00,218358100.00,1912775,66.36
Nenetsk_ao,170,174,71.15,10419500.00,5924600.00,11967300.00,5625827,63.62
Nizhegorod_obl,170,176,77.27,0.00,0.00,0.00,1015790,65.98
Novogordskaya_obl,178,188,72.65,101193100.00,103684500.00,181364900.00,2514392,57.3
Novosibirskaya_obl,145,148,71.06,473027200.00,495503000.00,849592700.00,4211386,60.41
Omskaya_obl,134,142,67.31,354792100.00,369279500.00,580530900.00,439941,60.49
Orendurgskaya_obl,155,161,72.97,350737100.00,354687100.00,626590600.00,3075006,66.09
Orlovskaya_obl,166,179,76.77,154486300.00,156081400.00,223575700.00,492717,72.17
Penzenskaya_obl,153,165,79.98,272771000.00,274015000.00,406398700.00,866023,73.75
Permskiy_krai,158,165,75.35,0.00,0.00,754194700.50,465934,66.51
Primorskiy_krai,145,150,65.26,381703800.00,398388500.00,618535700.00,700508,61.12
Pskov_obl,167,169,75.05,130343500.00,130001700.00,190454000.00,1446966,65.34
Rep_Adygeya,182,187,81.17,89417100.00,88821800.00,135649700.00,2797958,74.31
Rep_Altai,162,168,70.62,45560600.00,44872400.00,65244300.00,4057148,64.82
Rep_Bashkortostan,172,176,77.69,856638900.00,891207000.00,1416465200.00,681356,75.45
Rep_Buryatiya,138,145,73.72,201182400.00,205402400.00,300119500.00,800280,75.2
Rep_Dagestan,154,158,90.76,656048000.00,680096100.00,991148900.00,3896456,87.48
Rep_Ingushetiya,127,141,83.17,0.00,99360300.00,146022100.00,1510216,81.96
Rep_Kalmykiya,117,132,81.66,56614600.00,56840200.00,81571000.00,1227256,69.65
Rep_Kareliya,162,164,73.04,130285500.00,130876200.00,189971600.00,2616961,57.2
Rep_Komi,169,173,71.44,126000900.00,132180800.00,246251800.00,1277673,60.4
